"Dim1","Dim2","Dim3","Dim4","Val"
"0","Silicon","Poland","ratio",30000
"0","Silicon","Poland","abs",51311.5002090383
"0","Silicon","SouthAfrica","ratio",40000
"0","Silicon","SouthAfrica","abs",61311.5039042382
"0","Silicon","France","ratio",20000
"0","Silicon","France","abs",41311.4964308813
"0","Silicon","Bhutan","ratio",80000
"0","Silicon","Bhutan","abs",101311.500791236
"0","Silicon","Spain","ratio",40000
"0","Silicon","Spain","abs",61311.5040561301
"0","Tantalum","Australia","ratio",52
"0","Tantalum","Australia","abs",26.6920745663773
"0","Tantalum","Brazil","ratio",210
"0","Tantalum","Brazil","abs",236.770339320171
"0","Tantalum","China","ratio",76
"0","Tantalum","China","abs",48.7262935244932
"0","Tantalum","Russia","ratio",29
"0","Tantalum","Russia","abs",14.7193507856073
"0","Tantalum","Bolivia","ratio",2
"0","Tantalum","Bolivia","abs",0.882903387287209
"0","Tantalum","Congo","ratio",880
"0","Tantalum","Congo","abs",908.541077710886
"0","Tantalum","Nigeria","ratio",390
"0","Tantalum","Nigeria","abs",419.253394217234
"0","Tantalum","Rwanda","ratio",350
"0","Tantalum","Rwanda","abs",380.845811329955
"0","Tantalum","Burundi","ratio",2
"0","Tantalum","Burundi","abs",0.883190982980067
"0","Tantalum","Ethiopia","ratio",40
"0","Tantalum","Ethiopia","abs",20.4118177185318
"0","Tantalum","Mozambique","ratio",55
"0","Tantalum","Mozambique","abs",28.2737464478503
"0","Tellurium","Canada","ratio",27
"0","Tellurium","Canada","abs",13.8963688457116
"0","Tellurium","China","ratio",750
"0","Tellurium","China","abs",351.854371655692
"0","Tellurium","Russia","ratio",70
"0","Tellurium","Russia","abs",210.045756439803
"0","Tellurium","Bulgaria","ratio",1
"0","Tellurium","Bulgaria","abs",0.452203353473978
"0","Tellurium","Japan","ratio",70
"0","Tellurium","Japan","abs",210.093627500229
"0","Tellurium","Uzbekistan","ratio",13
"0","Tellurium","Uzbekistan","abs",6.59397888577296
"0","Tellurium","SouthAfrica","ratio",4
"0","Tellurium","SouthAfrica","abs",2.01020676499452
"0","Tellurium","Sweden","ratio",46
"0","Tellurium","Sweden","abs",186.053487408277
"0","Tin","Australia","ratio",9900
"0","Tin","Australia","abs",9899.94369997096
"0","Tin","Brazil","ratio",29000
"0","Tin","Brazil","abs",28999.9358300133
"0","Tin","China","ratio",69000
"0","Tin","China","abs",68999.9581298654
"0","Tin","Malaysia","ratio",3000
"0","Tin","Malaysia","abs",3000.56580671618
"0","Tin","Russia","ratio",3000
"0","Tin","Russia","abs",3000.06145059499
"0","Tin","Othercountries","ratio",1800
"0","Tin","Othercountries","abs",1800.00383302906
"0","Tin","Bolivia","ratio",21000
"0","Tin","Bolivia","abs",20999.9768605346
"0","Tin","Peru","ratio",31000
"0","Tin","Peru","abs",30999.9833905115
"0","Tin","Congo","ratio",25000
"0","Tin","Congo","abs",24999.9525245956
"0","Tin","Indonesia","ratio",50000
"0","Tin","Indonesia","abs",49999.9493480252
"0","Tin","Burma","ratio",34000
"0","Tin","Burma","abs",33999.9643293221
"0","Tin","Nigeria","ratio",7000
"0","Tin","Nigeria","abs",6999.90155846406
"0","Tin","Vietnam","ratio",6700
"0","Tin","Vietnam","abs",6699.71388360154
"0","Tin","Rwanda","ratio",3600
"0","Tin","Rwanda","abs",3600.0612560445
"0","Tin","Laos","ratio",1500
"0","Tin","Laos","abs",1500.02805942288
"0","Tungsten","Australia","ratio",1000
"0","Tungsten","Australia","abs",2194.74220256654
"0","Tungsten","China","ratio",67000
"0","Tungsten","China","abs",63596.4948400004
"0","Tungsten","Russia","ratio",2000
"0","Tungsten","Russia","abs",3194.75477055491
"0","Tungsten","Othercountries","ratio",1500
"0","Tungsten","Othercountries","abs",2694.7283590798
"0","Tungsten","Bolivia","ratio",1600
"0","Tungsten","Bolivia","abs",2794.74197318691
"0","Tungsten","Vietnam","ratio",3400
"0","Tungsten","Vietnam","abs",4594.73747916249
"0","Tungsten","Portugal","ratio",500
"0","Tungsten","Portugal","abs",1694.73467442401
"0","Tungsten","NorthKorea","ratio",1700
"0","Tungsten","NorthKorea","abs",2894.74463537617
"0","Tungsten","Rwanda","ratio",1200
"0","Tungsten","Rwanda","abs",2394.74641921485
"0","Tungsten","Spain","ratio",700
"0","Tungsten","Spain","abs",1894.74061142854
"0","Tungsten","Austia","ratio",800
"0","Tungsten","Austia","abs",1994.7435365649
"0","Vanadium","Brazil","ratio",5000
"0","Vanadium","Brazil","abs",14424.2185942124
"0","Vanadium","China","ratio",70000
"0","Vanadium","China","abs",41753.832363295
"0","Vanadium","Russia","ratio",21000
"0","Vanadium","Russia","abs",30424.2236196076
"0","Vanadium","SouthAfrica","ratio",8000
"0","Vanadium","SouthAfrica","abs",17424.2226994942
"0","MagnesiumMetal","Brazil","ratio",20000
"0","MagnesiumMetal","Brazil","abs",33431.1843377287
"0","MagnesiumMetal","China","ratio",950000
"0","MagnesiumMetal","China","abs",1005684.23049064
"0","MagnesiumMetal","Russia","ratio",15000
"0","MagnesiumMetal","Russia","abs",28431.1825805827
"0","MagnesiumMetal","Turkey","ratio",15000
"0","MagnesiumMetal","Turkey","abs",28431.1847474094
"0","MagnesiumMetal","Kazakhstan","ratio",20000
"0","MagnesiumMetal","Kazakhstan","abs",33431.1808143301
"0","MagnesiumMetal","Iran","ratio",5000
"0","MagnesiumMetal","Iran","abs",18431.1835139262
"0","MagnesiumMetal","Israel","ratio",20000
"0","MagnesiumMetal","Israel","abs",33431.1767170224
"0","MagnesiumCompounds","Australia","ratio",490000
"0","MagnesiumCompounds","Australia","abs",543934.423725429
"0","MagnesiumCompounds","Brazil","ratio",1800000
"0","MagnesiumCompounds","Brazil","abs",1853934.41949443
"0","MagnesiumCompounds","Canada","ratio",150000
"0","MagnesiumCompounds","Canada","abs",203934.422952535
"0","MagnesiumCompounds","China","ratio",13000000
"0","MagnesiumCompounds","China","abs",13072726.2209071
"0","MagnesiumCompounds","India","ratio",160000
"0","MagnesiumCompounds","India","abs",213934.423631303
"0","MagnesiumCompounds","Russia","ratio",2500000
"0","MagnesiumCompounds","Russia","abs",2553934.42264228
"0","MagnesiumCompounds","Othercountries","ratio",370000
"0","MagnesiumCompounds","Othercountries","abs",423934.423200499
"0","MagnesiumCompounds","Turkey","ratio",1300000
"0","MagnesiumCompounds","Turkey","abs",1353934.42550368
"0","MagnesiumCompounds","Iran","ratio",210000
"0","MagnesiumCompounds","Iran","abs",263934.425104088
"0","MagnesiumCompounds","Spain","ratio",670000
"0","MagnesiumCompounds","Spain","abs",723934.423570145
"0","MagnesiumCompounds","Austria","ratio",760000
"0","MagnesiumCompounds","Austria","abs",813934.427090612
"0","MagnesiumCompounds","Greece","ratio",390000
"0","MagnesiumCompounds","Greece","abs",443934.422864198
"0","MagnesiumCompounds","Slovakia","ratio",380000
"0","MagnesiumCompounds","Slovakia","abs",433934.425868888
"0","Manganese","Australia","ratio",2800000
"0","Manganese","Australia","abs",2799999.99999945
"0","Manganese","Brazil","ratio",590000
"0","Manganese","Brazil","abs",590000.000049652
"0","Manganese","China","ratio",770000
"0","Manganese","China","abs",769999.999911968
"0","Manganese","India","ratio",800000
"0","Manganese","India","abs",800000.000111074
"0","Manganese","Malaysia","ratio",410000
"0","Manganese","Malaysia","abs",409999.999778917
"0","Manganese","Othercountries","ratio",1300000
"0","Manganese","Othercountries","abs",1299999.99997915
"0","Manganese","SouthAfrica","ratio",7400000
"0","Manganese","SouthAfrica","abs",7400000.00000048
"0","Manganese","Cotedivoire","ratio",360000
"0","Manganese","Cotedivoire","abs",360000.000207355
"0","Manganese","Gabon","ratio",4600000
"0","Manganese","Gabon","abs",4600000.0000011
"0","Manganese","Ghana","ratio",820000
"0","Manganese","Ghana","abs",820000.000044186
"0","Zinc","UnitedStates","ratio",750000
"0","Zinc","UnitedStates","abs",750000.000098468
"0","Zinc","Australia","ratio",1100000
"0","Zinc","Australia","abs",1099999.99999989
"0","Zinc","China","ratio",4000000
"0","Zinc","China","abs",4000000.00000693
"0","Zinc","India","ratio",860000
"0","Zinc","India","abs",859999.999972
"0","Zinc","Russia","ratio",310000
"0","Zinc","Russia","abs",309999.999981343
"0","Zinc","Othercountries","ratio",1700000
"0","Zinc","Othercountries","abs",1700000.00000035
"0","Zinc","Bolivia","ratio",510000
"0","Zinc","Bolivia","abs",509999.999595776
"0","Zinc","Peru","ratio",1300000
"0","Zinc","Peru","abs",1299999.99999755
"0","Zinc","Kazakhstan","ratio",370000
"0","Zinc","Kazakhstan","abs",370000.000281632
"0","Zinc","Mexico","ratio",700000
"0","Zinc","Mexico","abs",699999.999991604
"0","Zinc","SouthAfrica","ratio",120000
"0","Zinc","SouthAfrica","abs",119999.999434586
"0","Zinc","Sweden","ratio",240000
"0","Zinc","Sweden","abs",240000.000062782
"0","Zirconiummineralconcentrates","UnitedStates","ratio",100000
"0","Zirconiummineralconcentrates","UnitedStates","abs",100000.001121462
"0","Zirconiummineralconcentrates","Australia","ratio",500000
"0","Zirconiummineralconcentrates","Australia","abs",499999.999528348
"0","Zirconiummineralconcentrates","China","ratio",100000
"0","Zirconiummineralconcentrates","China","abs",99999.9986457237
"0","Zirconiummineralconcentrates","Othercountries","ratio",110000
"0","Zirconiummineralconcentrates","Othercountries","abs",109999.998746052
"0","Zirconiummineralconcentrates","SouthAfrica","ratio",300000
"0","Zirconiummineralconcentrates","SouthAfrica","abs",299999.99957459
"0","Zirconiummineralconcentrates","Indonesia","ratio",95000
"0","Zirconiummineralconcentrates","Indonesia","abs",94999.9995996653
"0","Zirconiummineralconcentrates","Madagascar","ratio",30000
"0","Zirconiummineralconcentrates","Madagascar","abs",29999.9968444853
"0","Zirconiummineralconcentrates","Mozambique","ratio",160000
"0","Zirconiummineralconcentrates","Mozambique","abs",159999.999552424
"0","Zirconiummineralconcentrates","Kenya","ratio",20000
"0","Zirconiummineralconcentrates","Kenya","abs",19999.9993981858
"0","Zirconiummineralconcentrates","Senegal","ratio",60000
"0","Zirconiummineralconcentrates","Senegal","abs",59999.999201313
"0","Zirconiummineralconcentrates","SierraLeone","ratio",20000
"0","Zirconiummineralconcentrates","SierraLeone","abs",19999.9968006302
"0","Alumina","UnitedStates","ratio",720000
"0","Alumina","UnitedStates","abs",963381.384265786
"0","Alumina","Australia","ratio",18000000
"0","Alumina","Australia","abs",18243381.384207
"0","Alumina","Brazil","ratio",11000000
"0","Alumina","Brazil","abs",11243381.3842117
"0","Alumina","Canada","ratio",1500000
"0","Alumina","Canada","abs",1743381.38374058
"0","Alumina","China","ratio",84000000
"0","Alumina","China","abs",84321509.1603362
"0","Alumina","India","ratio",7600000
"0","Alumina","India","abs",7843381.38424103
"0","Alumina","Russia","ratio",2900000
"0","Alumina","Russia","abs",3143381.38486583
"0","Alumina","UnitedArabEmirates","ratio",2400000
"0","Alumina","UnitedArabEmirates","abs",2643381.38323979
"0","Alumina","Othercountries","ratio",1500000
"0","Alumina","Othercountries","abs",1743381.38424792
"0","Alumina","Germany","ratio",960000
"0","Alumina","Germany","abs",1203381.38407401
"0","Alumina","Turkey","ratio",320000
"0","Alumina","Turkey","abs",563381.384196416
"0","Alumina","Kazakhstan","ratio",1400000
"0","Alumina","Kazakhstan","abs",1643381.38401915
"0","Alumina","Indonesia","ratio",1300000
"0","Alumina","Indonesia","abs",1543381.38419854
"0","Alumina","Vietnam","ratio",1500000
"0","Alumina","Vietnam","abs",1743381.38468153
"0","Alumina","Spain","ratio",820000
"0","Alumina","Spain","abs",1063381.38377409
"0","Alumina","Greece","ratio",860000
"0","Alumina","Greece","abs",1103381.38406705
"0","Alumina","Guinea","ratio",300000
"0","Alumina","Guinea","abs",543381.384160236
"0","Alumina","Ireland","ratio",1600000
"0","Alumina","Ireland","abs",1843381.38449435
"0","Alumina","Jamaica","ratio",1500000
"0","Alumina","Jamaica","abs",1743381.38454951
"0","Alumina","SaudiArabia","ratio",1800000
"0","Alumina","SaudiArabia","abs",2043381.3844664
"0","Bauxite","Australia","ratio",100000000
"0","Bauxite","Australia","abs",99999999.998772
"0","Bauxite","Brazil","ratio",33000000
"0","Bauxite","Brazil","abs",32999999.9999981
"0","Bauxite","China","ratio",93000000
"0","Bauxite","China","abs",92999999.9994542
"0","Bauxite","India","ratio",25000000
"0","Bauxite","India","abs",24999999.9999983
"0","Bauxite","Russia","ratio",6300000
"0","Bauxite","Russia","abs",6300000.0001432
"0","Bauxite","Othercountries","ratio",5700000
